Design #,Case,Problem Framing - Relevant behaviors,Problem Framing - Target Outcome,Change Demand - Novelty,Change Demand - Scope,Change Demand - Frequency,Behavioral Constraints - Environmental Opportunity,Behavioral Constraints - Social opportunity,Behavioral Constraints - Technical Opportunity - Object,Behavioral Constraints - Technical Opportunity - Tool,Change Demand (total),Change Demand (high / low),Behavioral Constraint (total),Behavioral Constraint (high / low),Solution Principles,Solution - Mode of Delivery,Effect of design?,Rationale - Mechanism of Action,Use When - Population engagement,Use When - Contextual Cues,Use When - Areas of Application,Notes on Choice Infrastructure,Evoke emotions,Impose expectations,Set standards,Enhance commitment,Help construct self-image,Provide reward,Provide punishment,Set goals,Provide guidance,Provide feedback,Practice behavior,Present possible consequences,Prime users,Use triggers,Tell or show what others do,Consider messenger,Validate action,Present info figuratively,Make it salient,Require Action,Selectively present choices,Make it simple,Divert Action,SUM of Principles
11,18,"Improve engagement with, and usefulness of, flood plans","Individuals: Improve engagement with, and usefulness of, flood plans; measured by self-reported usefulness",1,1,0,1,1,0,0,2,HIGH,2,HIGH,"Set goals; (flood plan); 
Provide guidance;
Make it simple; (reduce number of actions required and broke steps into manageable action);
Present info figuratively; (increase salience with text chunked design);
Make it salient;
",Information - electronic; Environmental Change,Better,"Memory, attention, decision processes (Challenges choice overload)
Knowledge;
Social Role (as homeowner)",medium,planning; information seeking; government communications; agency (homeowners),homeowner; information; governments,planning is an interesting context; scored a medium engagement because of planning activity; glad they tested out future thinking and planning; designs were interesting; sharing that flood risk is both government and homeowner responsibility felt sensible,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,5
12,18,"Improve engagement with, and usefulness of, flood plans","Individuals: Improve engagement with, and usefulness of, flood plans; measured by self-reported usefulness",1,1,0,1,1,0,0,2,HIGH,2,HIGH,"Set goals; (flood plan); 
Make it simple; (reduce number of actions required and broke steps into manageable action); 
Provide guidance; (Supplied justifications for each step)
Present info figuratively; (increase salience with text chunked design)",Information - electronic; Environmental Change,Better,"Perceived susceptibility; 
Knowledge;
Skills; 
Social Role (as homeowner)",medium,planning; information seeking; government communications; agency (homeowners),homeowner; information; governments,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4
13,18,"Improve engagement with, and usefulness of, flood plans","Individuals: Improve engagement with, and usefulness of, flood plans; measured by self-reported usefulness",1,1,0,1,1,0,0,2,HIGH,2,HIGH,"Set goals; (flood plan); 
Make it simple; (reduce number of actions required and broke steps into manageable action); 
Provide guidance; (justications);
Present info figuratively; (increase salience with images and text chunked design);
Make it salient;",Information - electronic; Environmental Change,Better,"Perceived susceptibility; 
Knowledge;
Social Role (as homeowner)",medium,planning; information seeking; government communications; agency (homeowners),homeowner; information; governments,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,5
14,18,"Improve engagement with, and usefulness of, flood plans","Individuals: Improve engagement with, and usefulness of, flood plans; measured by self-reported usefulness",1,1,0,1,1,0,0,2,HIGH,2,HIGH,"Set goals; (flood plan); 
Require action; (future thinking activity);
Present possible consequences;
Providing guidance; (providing info about flooding and plans); 

(highest rates of downloading the plan)",Information - electronic; Environmental Change; Interactional,Better,"Perceived susceptibility; 
Goals; 
Motivation;
Knowledge; (Challenges Present Bias)",medium,planning; information seeking; government communications; agency (homeowners),homeowner; information; governments,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3
15,22,"Gum chewers sometimes drop their gum outside of the bin; this happens at different locations (public transport & travel, cut throughs, shopping trips, food on the go, nightlight hot spots, and far bin journeys)",Community: Reduce the gum littering in a community,0,0,1,0,1,0,0,1,LOW,1,LOW,"Present possible consequences; (gum on shoe);
Make it salient; (sign pointing to a bin);
Use triggers;
Present info figuratively;
Divert action;

Reduced gum litter by 60%;

",Environmental Change (posters and banners in public spaces),Better,"Social norms;
Emotion;
Behavioral cueing (salience and reminders);
",high,public space; littering; campaigns; visual information in environments,governments; littering,"study took place over 3 years and deployed for a total of 5 years; engaged with local stakeholders like residents, local policy makers, and urban designers",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,5
16,35,Water users must apply for a groundwater licence by a certain time; if not they may lose access and could be fined,Individuals: Encourage application from rural business owners who use groundwaters,1,0,0,1,1,0,0,1,LOW,2,HIGH,"Personalized 
Make it salient;
Provide guidance;
Provide reward;
Present possible consequences; 
Evoke emotion;
(gain framing on what businesses gain by having a licence; resulted in 2.2x more applications than control)",Information - printed; Mailed,Better,"Knowledge;
Beliefs about consequences;
Perceived Susceptibility;
Motivation",low,low knowledge about application; rural (decentralized population); legal requirement,governments; applications; licences,this study is pretty good at targeting middle-tier decision-makers; I assume business owners have a bit more consumption of water and might be fined by the government; also the prevalence of folks who don't know they need to apply - suggest the government might never have fined many in the first place. ,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5
17,35,Water users must apply for a groundwater licence by a certain time; if not they may lose access and could be fined,Individual: Encourage application from rural business owners who use groundwaters,1,0,0,1,1,0,0,1,LOW,2,HIGH,"Personalized
Make it salient;
Provide guidance;
Provide punishment;
Present possible consequences; 
Evoke emotions;
(loss framing emphasizing penalties and costs of not applyign for licence; resulted in 2.9x more applications than control)",Information - printed; Mailed,Better,"Knowledge;
Beliefs about consequences;
Perceived Susceptibility;
Motivation",low,low knowledge about application; rural (decentralized population); legal requirement,governments; applications; licences,,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5
18,45,"Encourage Carpooling
Behavioral Barriers to Deciding to Change Community Behaviors: 
Availability Bias; Commute Impedance; Loss Aversion; Opportunity Cost Neglect; Present Bias; Status Quo Bias; Sunk Cost Bias;",Individual: encourage carpooling behavior by addressing the little information about alternative transportation (measured sign ups and usage),0,0,1,0,0,0,0,1,LOW,0,LOW,"Present possible consequences;
Provide guidance;

(provided information that highlights social benefits)

",Information - electronic,unsure,"Knowledge; 

Attitude towards the behavior",low,organization; institution; assumed lack of knowledge,transportation; knowledge,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
19,45,"Encourage Carpooling
Behavioral Barriers to Deciding to Change Community Behaviors: 
Availability Bias; Commute Impedance; Loss Aversion; Opportunity Cost Neglect; Present Bias; Status Quo Bias; Sunk Cost Bias;",Individual: encourage carpooling behavior,0,0,1,0,0,0,0,1,LOW,0,LOW,"Present possible consequences;
Provide guidance;
Consider messenger;

(messaging from an organizational leader that highlights the often hidden benefits of the program)",Information - electronic,unsure,"Knowledge; 
Attitude towards the behavior;
Social Influence",low,organization; institution; assumed lack of knowledge,transportation; knowledge,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3
20,45,"Behavioral Barriers to Deciding to Execute Commuting Behavior Change:
Default Bias;
Friction Costs;
Overconfidence Effect;
Social Norms;
",Individual: increase bus ridership,0,0,1,0,0,0,0,1,LOW,0,LOW,"Set goals; 
Make it salient; (Personalized route plans)
Provide guidance;
Require action;",Infromation - electronic; ,better,"Goals;
Knowledge;
(easier for people to commute in sustainable ways)",low,bus; riding; ,transportation; ridership; plan, actual ridership behavior measured (even though self reported); buses need to be available; plans need to be acccurate,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4
21,46,Biking more often to and from work,encourage biking to and from work (more often),0,0,1,0,0,0,0,1,LOW,0,LOW,"Provide feedback; (on bike riding);
Provide guidance; (coaching);
Set goals; (bike on Monday); 
Tell or show what others do;
Provide reward; (money initially to break habit; reward of points then later unexpected rewards);
Help construct self-image;
Validate action;

(Increased bike users from 24 to 84%)","Information - electronic; (mobile app);
Group-based; Gamification;",better,"Motivation;
Norms;
Reinforcement;
Intention;
Goals;",high,mobile app; continuous development and engagement; environment affords desired behavior,biking; app; staging interventions,"They importantly staged designs to move behavior; this is the first one of its kind! It needs to be said, Netherlands is flat, so biking is much easier; also biking infrastructure is far more advanced, accessible, and safe",0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,7
22,53,Time-of-Use tarrifs on energy use for individuals consumers,Individual: Enhance consumers' understanding and encourage engagement with ToU tarrifs,0,0,0,1,1,0,0,0,LOW,2,HIGH,"Provide guidance;
Present possible consequences;

",Information - electronic; Individual based,better,Knowledge; Attitude towards the behavior; General attitudes and beliefs; ,low,low information; government ,energy; demand; consumers; communication; government; utility,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
23,53,Time-of-Use tarrifs on energy use for individuals consumers,Individual: Enhance consumers' understanding and encourage engagement with ToU tarrifs,0,0,0,1,1,0,0,0,LOW,2,HIGH,"Provide guidance;
Present possible consequences;
Present info figuratively;
Consider messenger;
Prime users; (logos of Irish energy authorities)",Information - electronic; Individual based,better,Knowledge; Attitude towards the behavior; General attitudes and beliefs; ,low,low information; consumers; governments;,energy; demand; consumers; communication; government; utility,,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,5
24,53,Time-of-Use tarrifs on energy use for individuals consumers,Individual: Enhance consumers' understanding and encourage engagement with ToU tarrifs,0,0,0,1,1,0,0,0,LOW,2,HIGH,"Present info figuratively; (Changed framing from money before environmental reasoning and vice versa)
Provide gudiance;
Present possible consequences;
Prime users; 
Consider messenger; (logos of Irish energy authorities)",Information - electronic; Individual based,better,Knowledge; Attitude towards the behavior; General attitudes and beliefs; ,low,low information; consumers; governments;,energy; demand; consumers; communication; government; utility,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,4
25,53,Time-of-Use tarrifs on energy use for individuals consumers,Individual: Enhance consumers' understanding and encourage engagement with ToU tarrifs,0,0,0,1,1,0,0,0,LOW,2,HIGH,"Present info figuratively; (Changed format);
Provide guidance;
Present possible consequences;
Prime users;
Consider messenger; (logos of Irish energy authorities)",Information - electronic; Individual based,better,Knowledge; Attitude towards the behavior; General attitudes and beliefs; ,low,low information; consumers; governments;,energy; demand; consumers; communication; government; utility,,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,5
26,53,Time-of-Use tarrifs on energy use for individuals consumers,Individual: Enhance consumers' understanding and encourage engagement with ToU tarrifs,0,0,0,1,1,0,0,0,LOW,2,HIGH,"Present possible consequences; (Exemplification of benefits);
Provide reward;
Provide guidance;
Present info figuratively;
Prime users;
Consider messenger; (logos of Irish energy authorities)",Information - electronic; Individual based,better,Knowledge; Attitude towards the behavior; General attitudes and beliefs; ,low,low information; consumers; governments;,energy; demand; consumers; communication; government; utility,only about informing consumers on possible tarrifs,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,6
27,55,It can be difficult for consumers to integrate multiple sources of information into decisions; eco-labels; ,Individual; explore choosing items by differing formating and framing of eco-labels under time press,0,0,0,1,1,0,0,0,LOW,2,HIGH,"Present info figuratively;
Make it salient; (standardized format and color of eco-labels); ",Information - electronic; Individual based,better,"Behavioral cueing; Memory, attention, and decision processes;",low,"Quick decision-making on low-cost, continually bought goods with eco-labels;",consumers; purchasing; ecolabels; standardizing; simplification,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
28,59,NYC public housing; trash bags; littering,Community; Get more use of the trashcans and less litterings (25% decrease in trash bags visible; 16% decrease in littering),0,0,1,0,1,0,0,1,LOW,1,LOW,"Present info figuratively; (adding or changing disposal spots);
Selectively present choices;
Provide guidance; (new policy posters)",Information - Printed; Environmental Change,better,Behavioral cueing; Knowledge; ,low,community infrastructure exists; restructuring and relearning; ,residents; waste; littering,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3
29,63,Consumers engage with circular economy on goods,Increase the preference for consumers to engage in circular economy,0,0,0,1,1,0,0,0,LOW,2,HIGH,"Make it salient;


(mentioned the products durability OR reparability)",Information - electronic; Individual based,better,"Memory, attention, and decision-processes",low,purchasing; communication; products,circular economy; consumer; communication; incentives,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
30,63,Consumers engage with circular economy on goods,Increase the preference for consumers to engage in circular economy,0,0,0,1,1,0,0,0,LOW,2,HIGH,"Make it salient;


(mentioned the products durability AND reparability)",Information - electronic; Individual based,no difference,"Memory, attention, and decision-processes",low,purchasing; communication; products,circular economy; consumer; communication; incentives,multiple stages of interviews and engagement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
31,63,Consumers engage with circular economy on goods,Increase the preference for consumers to engage in circular economy,0,0,0,1,1,0,0,0,LOW,2,HIGH,Provide reward; (Manufacturer warranty),Information - electronic; Individual based,better,General attitudes and beliefs,low,purchasing; communication; products,circular economy; consumer; communication; incentives,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,63,Consumers engage with circular economy on goods,Increase the preference for consumers to engage in circular economy,0,0,0,1,1,0,0,0,LOW,2,HIGH,"Make it salient; 
Use triggers; (Expected lifetime label)",Information - electronic; Individual based,better,General attitudes and beliefs,low,purchasing; communication; products,circular economy; consumer; communication; incentives,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
33,65,communication vehichle and ways that it might be effective for environmental messaging on business to consumers (b2c) or business to business (b2b),"test the effectiveness of communication vehicles (a PEF rating certification) for environmental communication when buying a laptop, tshirt, or milk",0,0,1,1,1,0,0,1,LOW,2,HIGH,"Consider messenger; (certification on labels; third party independent certified);
Present possible consequences; (works best with effects on children; negative framing);
Make it salient; (labels);
Evoke emotions; (framing negative)","Information - electronic; 
Environmental Change (colors and design of label);

Individual-based;
Push;",better,"Beliefs about consequences (children will be harmed);
Emotion (negative framing);
Knowledge;
Consider messenger;

(credibility from third-party evaluator?)",low,"purchasing goods; environmental, labels are effective",purchasing goods; europe; labels; consumers,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,4
34,65,communication vehichle and ways that it might be effective for environmental messaging on business to consumers (b2c) or business to business (b2b),"test the effectiveness of communication vehicles (a PEF rating certification) for environmental communication when buying a laptop, tshirt, or milk",0,0,1,1,1,0,0,1,LOW,2,HIGH,"Make it salient;
Present possible consequences; (health);
Evoke emotions; (framing positive)

(framing: pointing out positives - benefits for health)",information - electronic; individual-based; Push;,worse,"Beliefs about consequences (chilldren will benefit);
Emotion (gain framing);
Knowledge
",low,"framing a label; consumption of low, medium, and high cost product (milk, tshirt, laptop)",purchasing goods; europe; labels; consumers,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3
35,65,communication vehichle and ways that it might be effective for environmental messaging on business to consumers (b2c) or business to business (b2b),"test the effectiveness of communication vehicles (a PEF rating certification) for environmental communication when buying a laptop, tshirt, or milk",0,0,1,1,1,0,0,1,LOW,2,HIGH,"Make it salient;
Present possible consequences; (health);
Evoke emotions; (framing negative on children)

(framing: pointing out negatives - suffering for children);",information - electronic; individual-based; Push;,better,"Beliefs about consequences (chilldren will benefit);
Emotion (loss framing);
Knowledge
",low,"framing a label; consumption of low, medium, and high cost product (milk, tshirt, laptop)",purchasing goods; europe; labels; consumers,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3
36,77,Italian energy and water regulator wanted to improve energy efficiency by exploring the opportunities offered by a better use of consumption data and better information for end users. How do individuals react to the different types of feedback they receive?,"To improve energy consumption efficiency through better consumption data and better information for the end-user, that would increase their awareness on what they are paying for",0,1,1,0,0,0,0,2,HIGH,0,LOW,"Provide feedback;
Present info figuratively;
Use triggers;
(Continuous feedback from smart metre and app) ",Information - electronic; Individual based; gamification,better,"Feedback processes;
Emotion; (loss aversion)
Intention;",low,access and observation of feedback; monitoring behavior; experiment might be generalizing a bit too much since most folks don't actively monitor their dishwasher or other appliances,energy; consumers; feedback,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,3
37,77,Italian energy and water regulator wanted to improve energy efficiency by exploring the opportunities offered by a better use of consumption data and better information for end users. How do individuals react to the different types of feedback they receive?,"To improve energy consumption efficiency through better consumption data and better information for the end-user, that would increase their awareness on what they are paying for",0,1,1,0,0,0,0,2,HIGH,0,LOW,"Provide feedback;
Make it salient;
Use triggers;
(in monetary cost not energy used)",Information - electronic; Individual based; gamification,better,"Feedback processes;
Emotion; (loss aversion)
Intention;",low,feedback from institution; relatable feedback for users,energy; consumers; feedback,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,3
38,77,Italian energy and water regulator wanted to improve energy efficiency by exploring the opportunities offered by a better use of consumption data and better information for end users. How do individuals react to the different types of feedback they receive?,"To improve energy consumption efficiency through better consumption data and better information for the end-user, that would increase their awareness on what they are paying for",0,1,1,0,0,0,0,2,HIGH,0,LOW,"Provide feedback;
Make it salient;
Evoke emotions;
Validate actions;
(on past poor performance & inefficent use from last cycle)",Information - electronic; Individual based; gamification,better,"Feedback processes;
Emotion; (loss aversion)",low,discrete feedback when it is expected from institution they would expect to get that information,energy; consumers; feedback,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4
39,77,Italian energy and water regulator wanted to improve energy efficiency by exploring the opportunities offered by a better use of consumption data and better information for end users. How do individuals reach to the different types of feedback they receive?,"To improve energy consumption efficiency through better consumption data and better information for the end-user, that would increase their awareness on what they are paying for",0,1,1,0,0,0,0,2,HIGH,0,LOW,"Provide feedback;
Tell or show what others do;
Validate actions;
Evoke emotions;

(if user received comparison with worse performance, then user performs worse)",Information - electronic; Individual based; gamification,worse,"Feedback processes;
Norms;
Knowledge;",low,figure out if performance is better or worse than the average; and if the goal is to maintain behavior (better than average) or change behavior toward comparison (worse than average),energy; consumers; feedback,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,4
40,79,Adoption of clean-power plan from customers of energy,Increase adoption of clean-power plan,1,0,0,0,1,0,0,1,LOW,1,LOW,"Set goals;
Require action;
Selectively present choices;

(Prompting users to select a plan rather than defaulting users into plan)",Information - electronic; Information - paper; Individual based,unsure,"Behavioral cueing; 
",low,enrolling into an energy plan; starting a new thing; or reminding existing customers,energy; renewable; selection; plan,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3
41,79,Adoption of clean-power plan from customers of energy,Increase adoption of clean-power plan,1,0,0,0,1,0,0,1,LOW,1,LOW,"Require action;
(default - automatically enrolled into clean-energy plans)",Information - electronic; Individual based,better,"Memory, attention, decision processes (defaults)",low,enrolling into an energy plan; starting a new thing; or reminding existing customers,energy; renewable; selection; plan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
42,79,Evaluate homeowners and home buyers home's for energy-efficiency,Increase homeowners and home buyers knowledge of energy efficiency of the home,0,0,0,1,1,0,0,0,LOW,2,HIGH,"Make it salient;
Present info figuratively;
Present possible consequences;
Set standards;

(Scaled comparison; homes energy-efficiency profile (1-10))",Information - electronic; Information - paper; Individual based,unsure,"Knowledge;
Beliefs about consequences;",low,comparison; buying or evaluating; marketability; comparison,energy; homes; comparison;,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,4
43,80,Purchasing more energy efficient appliances,To test whether the way energy efficiency is present impacts major appliance purchase choice,0,0,0,0,1,0,0,0,LOW,1,LOW,"Provide guidance;
Present possible consequences;
Make it salient;
Present info figuratively;

(Included monetary lifetime running costs on EU appliance energy labels)",Information - printed material; Individual based; Push; (labels),better,"Knowledge;
Beliefs about consequences;",low,purchasing; comparisons; salience; ,energy; appliances; selection,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,4
